content,label
"Thank you for the information you support, my side will consult and prepare. If you have any problems, I will talk to you more.

Have a nice day!",Customer Care
"Hi,

If I Give You 15% Discount, We will make a loss.

No Meaning To Do This Order, We Can Support Most Is 3% Discount.

Thank you.",External Relationship
"We would like send you Schedule for this shipment as below. 
Pls delivery cargo for DHL. Thanks 


Your courier Pickup has been scheduled as follows: 
Date of Pickup: 2019-03-21 12:16:52 
Ready By: 01:30 
Closing Time: 03:00 
Your Confirmation Number is: 158566 
Note: 
If pickup details change, please notify DHL Customer Services at 1800-2858888",External Relationship
"Hi Tuan, 

yes, right now it will be approx. CW 05/ 2023. The last working day of this week is Friday, 3rd February 2023.

The shutter will be ready for your forwarding company to be picked up in CW 05/2023 according to current state of knowledge. 

I will let you know if I have the exact completion date or if there is any change regarding the completion date. 

We will do our best and take your order with the highest priority.

Sincerely,

Hien",Sales
"Dear Mr. Trong, 

I send you the UNC in the attached file. 
Please check with the accountant and confirmed with me. 

Thank you.",Sales
"We got information. 

They picked up cargo. 

The number of package is different from prior information by KHI. 
We are checking it. 

According to SMJ, export packing will be finished tomorrow(8 June). 
After we get the information about dimension and gross weight, we will add those information onto the shipping list. (Draft is done.) 

C/O shall be applied the cargo information is fixed. 
(We need 2 step to get the certificate. 1) Judgment (Done) 2)Application (From now).",External Relationship
"First of all, please confirm that end user to purchase bokwang without data sheet. 
And we need your draft Po to issue Profoma invoice.",External Relationship
"Overall, I'm not particularly pleased with the store. I ordered a laptop that arrived with a defect. After 10 telephone conversations, I had to take it to a service from where they forwarded him to another service. After 4 days, they returned the same laptop with a replaced LCD cable.",Customer Care
"Dear Sir,

Please find attached the original manual for this pump.
The correct drawing is in page 15.

Best Regards",Sales
"Dear Mr. Kha, 

I thank you for your request, the parameters described KH describing both Level Gauge and Level Transmitter, but the product name requires quotation just to level Transmitter, so ask me to check with KH to help me is KH. Need to greet the whole set or only the transmitter level? 

Thank you and have a nice working day!",Sales
"Dear Mr Nguyen

Please find attached quotation for your perusal
We are offering DK-LOK for fittings, SANDVIK for tubing and OLIVER VALVES for the needle valves
No offer for items 26-31 of your inquiry
We hope to receive a favourable reply from you soon

",Sales
"Fast delivery. I have shopped from Emag many times and the service is at the level very quickly and easily. They have a permanent discount, as well as a very rich assortment of goods. The supply is fast and easy, prices are affordable. I regularly visit the site and I am pleased with the goods they offer.",Customer Care
I am pleased with the store and the courier company used.,Customer Care
"Good site. Good site, correct and quick. It is easy to work with, sifting supplies by areas, explicitly mentioned at what amount the delivery will be free of charge. A little poor assortment (compared to other similar platforms), there are the most pizzeria offers. We have ordered several times through them - I'm pleased. They periodically have promotions for discounts and games for free vouchers.",Customer Care
"Dear Mr Vu / Ms Vi, 

Good day. 

Please find our offer as attached for your consideration. 

We will update you again for the Swagelok items as we are still checking with factory. 

Thank you.",Sales
"Discount coupons are difficult to use

Personal experience

Orders are not processed on holidays",Customer Care
"I have received the order information,
Tomorrow morning, I will send the ABB device to Anh Phuc's car.
When Schneider goods arrive, I will send a notification via this Email.
Thank,
Ms. Thu",Sales
"Everything is clear and perfect

I am pleased with many other Sapir brand products

So far I have no complaints",Customer Care
"Dear Bing Li,

Why did DHL FINLAND hold this shipment, Pls check with them help us
Cnee need cargo urgent . Pls support",Customer Care
"It is very easy to work with the site. Everything is clearly and clearly described. Everything is visible at the moment as the final sum and a preliminary account can always be made. I didn't see anything misleading.

Before ordering from the store, I looked at many others as well as advertisements from individual sellers. No one recommended it to me, just by some discretion (or feeling), I decided to order right from you. I liked the fact that there were reviews from other buyers, even though I ordered a product without them. For the moment, I was looking for exactly a specific thing. Advantages: Fast, easy ordering of an order, clear conditions, and I am already convinced of the guarantees and responsibilities you have taken to the client.

Regarding the order, there are no disadvantages.",Customer Care
"The low rating is based on the order was delayed without warning:
The order was placed on 02. 01. 18 in 9: 30, on 03. (ie at the latest on 08. 01. 18). The order was submitted to Econt's office for sending on 09. 01. 18 at 18: 21 and was delivered on 10. 01. 18

Still, they delivered it!

In my opinion, the employee frankly lied to the delivery time. If at least they had called that the order would be late I would not have left any opinion, but now ...",Customer Care
"Dear Ms. Jenni, 
We add bank slip from your bank as attached file. Please, check bank slip with your bank. 
And your bank can contact the DEUTSCHE BANK AG FRANKFURT AM MAIN. They will confirm our payment. 
thank you so much!",External Relationship
"Useful site. I use it to sell my technique that doesn't come into use. Two days ago, I sold my coffee machine and took nice money for it. I also sold a TV a long time ago, and from there I also found summer tires for my father's car very profitable. Registration is easy and free, they do not want a fee for sold item. The site is very useful, if they don't change or close it.",Customer Care
"If you are talking attached. 

Its confirm without bulb. 

Anyway its totally different item. 


HAL-IBL008194-027 
SAP 328195 

TNXCX, Floodlight internals, 24VDC, 35W, Xenon 
Bulb w/ballast 
Price is 2400.00 SGD",Sales
"Thank you for draft PO. 
This will be processed under two separate invoices SI1046973 & SI1046974 as they are supplied by different factories. Is it ok for you or you prefer to issue two separate PO?",External Relationship
"As if I have been exchanged with me by phone, my company currently has a contract with Vietsovpetro is to provide PAGA system for BK18A rig. As well as presented to him, because this rig will connect to the MSP9 rig, this system has a part of the MSP9, the BK18A side has only the last device. I also send attached emails as information of this contract:
- Sacrifice requirements and spec., Datasheet
- MTO Paga BK18A

My side will provide more information when there is a specific request.

I'm going to see for me the right certificate for me,
",External Relationship
"I wanted to order Ben Ten's EC Boxing disc, but there were no available. I changed the order with another disk, while liked another one and another one I added both came at the same time just a day after the order

The order has changed due to lack of availability

maybe up -to -date status for the availability of items",Customer Care
"Good day. 
As noted, we have asked the maker to arrange items and there will be no delay. 
Please revised the seller as below. 

K-TECH CORPORATION 
#3, Jungang-Daero 96, Jung-Gu, Busan, Korea, 48939 
Tel: +82-70-4609-8084 (Rep.) / 8084(Direct) 
Mobile: +82-10-4279-3062 (24 hours) 
E-mail: plant@ktechcorp.co.kr 

Represented by Purchasing Manager. 
Hereinafter called “ the seller”",External Relationship
"We would like to inform you that we will process to order for this quotation. Please, send us Proforma Invoice. 
We will draft PO base on PI.",External Relationship
"Competitive.
Promotions.
Low quality products.",Customer Care
"Dear Mr Hieu! 
Send him quotation product price of SKF bearings on demand, 
We hope to receive feedback and cooperation from your company! 

1: Quotation: in the attached file 
2: Quotation validity: 6 months 
3:. CO-CQ status: The original is granted by SKF 
4: Delivery time: As in quotes 

- 
Best Regards,",Sales
"Good day to you! 
We will process to order for the quote. Will order Item 2 with 2 pcs. 
Please, send us quotation.",Sales
"We are sending to you draft PO. 
Please, check your information. 
It you agree, please sign, stamp draft PO and resend scan Po for us. 
We will payment then we receive your mail,",External Relationship
"For drawing information, because the ship was built too long. They are afraid drawing is no longer available at this time. May be, Sanshin probably saved the ship's name as cherry, not ruby. 
1. Vessel Name: Ruby II FPSO in 2008 (Original Name: Cherry II) 
2. Hull No: 334 / 335 
3. IMO No: 8902175 
4. Shipbuilder: Onomichi, Japan in 1989 
Could you please support us send maker about this information?",Sales
