content,label
"Dear Ivy,

Hope you everything goes well in this golden Autumn season of October!

Here we'd like to share you our portable flyaway and drive-away antenna available in stock. 
If you're interested in this type of antenna, kindly contact us!

It does not matter how slowly you go as long as you do not stop.
Carolyn
",2
"View Online 





Better Faster Greener
Better Performance Per Watt and Per Dollar 40%-60% Better Performance on Cloud Workloads Reduced Environmental Impact & Lower TCO


Comprehensive Server based on 3rd Gen Intel® Xeon® Scalable Processor 
• Over 100 Building Block Optimized Designs 
• Maximum Processor, Memory and I/O Performance
• Max Performance, High Volume Cloud, High Efficiency Multi-Node, Mainstream

Featured Products:


Rackmount Server 
Leading Multi-node Architectures
• Optimized for highest processor TDPs
• Up to 22 hybrid NVMe
• Up to 3 double width GPUs
• PCI-E 4.0 support with 64 lanes per socket; Total 128 lanes
________________________________________


Twin Server 
High Performance & Flexibility Enterprise Applications Rackmount System
• Highly configurable 2U 4-node and 2U 2-node systems 
• 3rd Gen Intel® Xeon® Scalable processors, 2 per node, up to 270W TDP
• All-hybrid hot-swappable drive bays - NVMe,SAS or SATA (2.5” or 3.5” drives) - Up to 12 NVMe drives per node
• 16 DIMMs + 4 Intel Optane Persistent Memory 200 series per node
________________________________________


GPU Server 
High Performance and Flexibility for AI/ML and HPC Applications
• Dense and scalable multi-GPU powerhouse supports the latest HGX A100 8 SXM4 GPU
• New NVIDIA NVSwitch that is 2X faster than the previous generation
• Networking up to 200G, GPUDirect RDMA and GPUDirect Storage
________________________________________


Storage Server 
Application-optimized High-Performance Storage Solution
• New generation top-loading server optimized for field serviceability and field replacement
• PCI-E 4.0 storage controller with hardware RAID and IT mode
• Tool-less hot-swappable drive bays supporting 3.5 and 2.5” media
• Flexible mix of hybrid HDD and SSD drive bays for best performance and TCO

",2
"Thank you for your call earlier.

Please find attached our company introduction and brochure for your reference.

Do feel free to forward us any of your inquiry and we look forward to work closely with your company.

Thank you.
",2
"Have a nice day!
This time we'd like to share you our Antesky portable flyaway antenna with 1.8m diameter ka-band, please kindly check it as below.
And also attached I put one photo for 1.8m ka-band antenna and me. Kindly recognize me (>??)
As you grow older, you will discover that you have two hands, one for helping yourself and the other for helping others.
With warm regards,
Carolyn
Antesky Science Technolgy Inc.
",2
"Dear Mr. Terence Chua,
I have a new enquiry as in attach file, we would be grateful if you could provide us with a quotation
Please kindly check & offer us your best price for the goods.
*Pls comment enough below information on your quotation:
- YOM
- Price term: 
- Delivery time: 
- Payment term:
- Model/ Part number/Brand/Origin should be clarified on quotation.
- Technical spec and the certificate. : Cert of Origin, Cert of quality, Hydraulic test.
Please quote us before 07/08/2020. We hope to received your quote soon.
",3
"Dear Ivy,
C/KU dual band antenna beed our Antesky mature product with reliable performance, and in recent two years, a lot of customers require extend ku-band as 10.7-12.75GHz from 10.95-12.75GHz, and now we can realize ku-band as 10.7-12.75GHz, so we'd like to share you that our C/KU dual band 6m/7m/9m antenna can use 10.7-12.75GHz.
Kindly check below details.



Constant dripping wears away a stone.
",2
"Dear Ivy,
Good day!
In this beautiful beginning of spring, let us share you our 2.4m portable flyaway antenna with manual and motorized type.
Also we had done these two portable flyaway antenna videos for manual and motorized separately, please kindly check at below website for your reference.
2.4m manual portable flyway antenna: https://www.youtube.com/watch?v=pWNtYQLjN_g
2.4m motorized portable flyaway antenna:https://youtu.be/SyD3Oy1goU0

As well as the comparison for these two antennas as below for your reference.
True nobility is being superior to your former self.
With warm regards,
",2
"Dear Ivy,
Wish you are well and healthy!
During this special period of Chinese holiday after one month, Antesky would like to offer you the information of our products available in stock with goods package ready, and if you purchase now, we can ship immediately for you. Please kindly check below as details.


Keep smiling and never give up, even when things get you down.
With warm regards,
Carolyn
",2
"Dear Mr. Kha,

Upon request, I send you a quote for components as attached file.
The goods we provide have all the CO-CQ papers.

Please take a look at the quote and if you need any other information, please contact me.

Thank you.",3
"Hello
Please send me the price of the toilet
Thank you",3
